Tipo tabela,Segmento,Código do procedimento,Mnemônico,Descrição,Status do procedimento,Código tabela,Correlação TUSS,Descrição TUSS,Cobertura,Observação cobertura,Valor exame,Valor atualizado,Componente de preço,Quantidade CH,Unidade financeira,Valor unidade financeira,Porcentagem,Área Laboratorial Padrão,Área Laboratorial Exclusiva
1,1,352,AH5,17 ALFA OH PROGESTERONA [5 DOSAGENS VARIAVEIS],Ativo,129,,,S,,"12,07",,2 - CH,"10,05","0001 - R$ 1,00",1,100,Alvaro,
1,1,725,CET,CETONEMIA - PESQUISA,Ativo,1122,,,S,,"2,01",,2 - CH,"2,01","0001 - R$ 1,00",1,100,Alvaro,
1,1,1376,AVMS,ACIDO VANIL MANDELICO [URINA ISOLADA],Ativo,151,,,S,,"12,56",,2 - CH,"12,56","0001 - R$ 1,00",1,100,Alvaro,
1,1,27,LAC,ÁCIDO LÁTICO - LACTATO [SANGUE EDTA],Ativo,146,,,S,,"9,04",,2 - CH,"9,04","0001 - R$ 1,00",1,100,Bioquimica,
1,1,198,PCR,PROTEINA C REATIVA - PCR,Ativo,1228,,,NC,,,,2 - CH,60,"0001 - R$ 1,00",1,100,Bioquimica,
1,1,56,LAC2,ÁCIDO LÁTICO - LACTATO [SANGUE TOTAL HEPARINA],Ativo,146,,,S,,"9,04",,2 - CH,"9,04","0001 - R$ 1,00",1,100,Bioquimica Manual,
1,1,821,CQD,CITOLOGIA DE LIQUIDO PERITONIAL,Ativo,28555663,,,S,,"37,75",,2 - CH,"37,75","0001 - R$ 1,00",1,100,Citologia,
1,1,822,CTZ,CITOLOGIA DE TZANCK,Ativo,1210,,,S,,"4,54",,2 - CH,"4,54","0001 - R$ 1,00",1,100,Citologia,
1,1,830,CIP,CITOLOGIA - LIQUIDO PLEURAL,Ativo,27877777,,,S,,"34,32",,2 - CH,"34,32","0001 - R$ 1,00",1,100,Citologia,
1,1,841,PCN,PESQUISA DE CELULA NEOPLASICA,Ativo,28100433,,,S,,20,,2 - CH,20,"0001 - R$ 1,00",1,100,Citologia,
1,1,4,ALD,ALDOLASE [SORO],Ativo,158,,,S,,"10,05",,2 - CH,"10,05","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,58,IGA,IGA - IMUNOGLOBULINA A,Ativo,1189,,,S,,"29,15",,2 - CH,"29,15","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,59,IGG,IGG - IMUNOGLOBULINA G,Ativo,28060628,,,S,,"29,15",,2 - CH,"29,15","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,60,IGM,IGM - IMUNOGLOBULINA M,Ativo,28020611,,,S,,"29,15",,2 - CH,"29,15","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,62,C3,COMPLEMENTO C3,Ativo,1107,,,S,,"11,56",,2 - CH,"11,56","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,63,C4,COMPLEMENTO C4,Ativo,1108,,,S,,18,,2 - CH,18,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,76,PTS,PROTEINA S FUNCIONAL [SANGUE],Ativo,28180461,,,S,,90,,2 - CH,90,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,106,AAU,ANTIGENO AUSTRALIA - HBS AG [SORO],Ativo,28060210,,,NC,,,,2 - CH,14,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,110,C25,CA 125 [SORO],Ativo,1109,,,S,,18,,2 - CH,18,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,113,DAL,CARDIOLIPINA IGG - ANTICORPOS [SORO],Ativo,1116,,,S,,"28,64",,2 - CH,"28,64","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,114,ADL,CARDIOLIPINA IGM - ANTICORPOS [SORO],Ativo,1116,,,S,,"28,64",,2 - CH,"28,64","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,162,IGE,IMUNOGLOBULINA IgE TOTAL,Ativo,1187,,,S,,"14,07",,2 - CH,"14,07","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,189,BRU,BRUCELOSE [SORO],Ativo,1103,,,S,,"11,56",,2 - CH,"11,56","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,200,WAR,WALLER ROSE,Ativo,28061012,,,S,,"9,55",,2 - CH,"9,55","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,202,WID,REACAO DE WIDAL,Ativo,28061039,,,S,,"15,08",,2 - CH,"15,08","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,277,CBK,CULTURA DE BK,Ativo,28100581,,,S,,25,,2 - CH,25,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,292,CPF,CULTURA PARA FUNGOS,Ativo,28100662,,,S,,25,,2 - CH,25,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,348,OH1,17 ALFA HIDROXIPROGESTERONA,Ativo,122,,,S,,"12,07",,2 - CH,"12,07","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,349,AH2,17 ALFA OH PROGESTERONA [2 DOSAGENS VARIAVEIS],Ativo,129,,,S,,"12,07",,2 - CH,"10,05","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,350,AH3,17 ALFA OH PROGESTERONA [3 DOSAGENS VARIAVEIS],Ativo,129,,,S,,"12,07",,2 - CH,"10,05","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,355,HIA,ACIDO 5 HIDROXI-INDOLACÉTICO [URINA 24 HORAS],Ativo,136,,,S,,"14,58",,2 - CH,"14,58","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,356,ADM,ACIDO DELTA AMINOLEVULINICO - ALAU [AMOSTRA ISOLADA],Ativo,140,,,S,,"75,39",,2 - CH,"75,39","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,357,ACH,ACIDO HIPURICO [AMOSTRA ISOLADA],Ativo,143,,,S,,"10,05",,2 - CH,"10,05","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,359,ACM,ÁCIDO METIL HIPÚRICO [AMOSTRA ISOLADA],Ativo,148,,,S,,"10,55",,2 - CH,"10,55","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,361,AOS,ÁCIDOS ORGÂNICOS [SORO],Ativo,1209,,,S,,"145,24",,2 - CH,"145,24","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,373,GPA,ALFA 1 GLICOPROTEINA ÁCIDA [SORO],Ativo,162,,,S,,"11,56",,2 - CH,"11,56","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,380,AND,ANDROSTENEDIONA [SORO],Ativo,167,,,S,,"10,05",,2 - CH,"10,05","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,381,CCP,ANTI CCP (Cyclic Citrullinated Peptide),Ativo,1119,,,S,,"50,26",,2 - CH,"50,26","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,385,RNP,ANTI - ENA PAINEL [SORO],Ativo,181,,,S,,25,,2 - CH,25,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,398,AAG,"GLIADINA IgA, ANTICORPOS ANTI [SORO]",Ativo,176,,,S,,40,,2 - CH,40,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,401,ATT,"TTG, ANTICORPOS ANTI-TRANSGLUTAMINASE TECIDUAL - IgG [SORO]",Ativo,28061233,,,S,,"36,69",,2 - CH,"36,69","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,404,ACL,ANTICOAGULANTE LÚPICO [SANGUE],Ativo,169,,,S,,"27,14",,2 - CH,"27,14","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,406,IAA,ANTICORPO ANTI INSULINA [SORO],Ativo,184,,,S,,"24,63",,2 - CH,"24,63","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,414,AAC,ANTICORPOS ANTI CENTROMERO [SORO],Ativo,172,,,S,,"15,08",,2 - CH,"15,08","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,425,APA,APOLIPOPROTEINA A,Ativo,194,,,S,,"12,56",,2 - CH,"12,56","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,426,APB,APOLIPOPROTEINA B,Ativo,195,,,S,,"24,12",,2 - CH,"24,12","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,445,CER,CERULOPLASMINA [SORO],Ativo,1121,,,S,,18,,2 - CH,18,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,453,COU,COBRE [URINA DE 24HS],Ativo,1134,,,S,,"14,58",,2 - CH,"14,58","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,454,COS,COBRE [SORO],Ativo,28010485,,,S,,"13,25",,2 - CH,"13,25","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,455,CSE,COLINESTERASE PLASMATICA,Ativo,1135,,,S,,"8,55",,2 - CH,"8,55","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,464,CRG,CRIOGLOBULINAS - PESQUISA,Ativo,1217,,,S,,"5,03",,2 - CH,"5,03","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,467,CRC,"CARBOHIDRATOS, CROMATOGRAFIA [URINA]",Ativo,1143,,,S,,30,,2 - CH,30,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,474,DHI,DEHIDROTESTOSTERONA [SORO],Ativo,1146,,,S,,"14,58",,2 - CH,"14,58","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,475,DHT,DEHIDROEPIANDROSTERONA [SORO],Ativo,1147,,,S,,"18,6",,2 - CH,"18,6","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,478,ELL,ELETROFORESE DE PROTEÍNAS [LIQUOR],Ativo,1157,,,S,,35,,2 - CH,35,"0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,479,EPR,ELETROFORESE DE PROTEINAS [SORO],Ativo,1158,,,S,,"24,12",,2 - CH,"24,12","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,498,FIB,FIBRINOGÊNIO [SANGUE],Ativo,1166,,,S,,"15,08",,2 - CH,"15,08","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,502,ATF,"TREPONEMA PALLIDUM, PESQUISA DE ANTICORPOS IgG [SORO]",Ativo,1171,,,S,,"25,14",,2 - CH,"25,14","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,503,FTA,TREPONEMA IgM (IMUNOFLUORESCÊNCIA) [SORO],Ativo,1171,,,S,,"25,14",,2 - CH,"25,14","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,508,HGL,HAPTOGLOBINA,Ativo,1177,,,S,,"14,58",,2 - CH,"14,58","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
1,1,537,OSP,OSMOLALIDADE SÉRICA [SORO],Ativo,1203,,,S,,"5,03",,2 - CH,"5,03","0001 - R$ 1,00",1,100,Db - Diagnostico do brasil,
